schema,table,comment
ros_meta,contact,
ros_meta,focal_point,
ros_meta,observer,
ros_meta,observer_accreditation,
ros_meta,observer_identifier_mapping,
ros_meta,vessel,
ros_meta,vessel_licensed_target_species,
ros_common,additional_details_on_non_target_species,
ros_common,biometric_information,
ros_common,depredation_details,
ros_common,observer_data,Entry point of any data
ros_common,trip,
ros_common,trip_daily_activities,
ros_common,trip_daily_activity_details,
ros_common,trip_observer,
ros_common,trip_reasons_for_days_lost,
ros_common,trip_vessel,
ros_common,trip_vessel_fish_preservation_method,
ros_common,trip_vessel_fish_storage_type,
ros_common,trip_vessel_main_engines,
ros_common,trip_waste_managements,
ros_ps,additional_catch_details_on_ssi,
ros_ps,catch_details,
ros_ps,cetaceans_whale_shark_sightings,
ros_ps,fishing_events,
ros_ps,gear_specifications,
ros_ps,object_details,
ros_ps,setting_operations,
ros_ps,setting_operations_cl_school_sighting_cues,
ros_ps,specimens,
ros_ps,tag_details,
